language,Project Name
R,Rise and Fall of Programming Languages
R,Functions for Food Price Forecast
R,Predict Taxi Fares with Random Forests
R,Bad passwords and the NIST guidelines
R,"Who is Drunk and When in Ames, Iowa?"
R,Wrangling and Visualizing Musical Data
R,Visualizing Inequalities in Life Expectancy
R,Level difficulty in Candy Crush Saga
R,Exploring the Kaggle Data Science Survey
R,Dr. Semmelweis and the Discovery of handwashing
R,A Visual History of Nobel Prize Winners
R,Scout Your Athletics Fantasy Team
python,Dr. Semmelweis and the Discovery of handwashing
python,A Visual History of Nobel Prize Winners
python,Classify Song Genres from Audio Data
python,"Who is Drunk and When in Ames, Iowa?"
python,Naive Bees: Predict Species from Images
python,The Github History of Scala Language
python,Generating Keywords for Google Adwords
python,Bad passwords and the NIST guidelines
python,Mobile Games A/B Testing with Cookie Cats
python,Recreating John Snow’s Ghost Map
python,The Hottest Topics in Machine Learning
python,Name Game: Gender Prediction using Sound
python,A New Era of Data Analysis in Baseball 
python,Naive Bees: Image Loading and Processing
python,Word frequency in Moby Dick
python,Exploring the evolution of Linux
python,Risk and Returns: The Sharpe Ratio
python,A Network analysis of Game of Thrones
python,Exploring 67 years of LEGO
R,Phyllotaxis: Draw flowers using mathematics
python,Exploring the Bitcoin cryptocurrency market
R,Introduction to DataCamp Projects
python,Introduction to DataCamp Projects
python,mail_merge_outlook
python,Home_Eval_Stat
python,resume_courses_python
